dataset,length_measure,n,mean_length,mean_absolute_error,pearson_r,pearson_p,spearman_rho,spearman_p,slope_mae_per_residue,slope_p,r_squared
testAB,receptor_length,103,273.15533980582524,1.4035628794697872,0.06405393810445499,0.5203516865958792,0.02832579611038939,0.7763919788599528,0.00043927897877182756,0.5203516865958786,0.0041029069866893525
testAB,ligand_length,103,104.75728155339806,1.4035628794697872,0.07719592237108254,0.43831061943891586,0.06035507923744724,0.5447710373481984,0.0008767284065081828,0.4383106194389167,0.005959210430722208
testAB,total_length,103,377.9126213592233,1.4035628794697872,0.08080119564328461,0.4171575720688493,0.015057950055743613,0.8800033418122521,0.0004045829336432032,0.41715757206884724,0.00652883321738435
test_fabs,receptor_length,70,268.84285714285716,1.3993993017432995,0.11279859240363083,0.3525162042022469,0.1684304798465238,0.16337890773827646,0.0008580286022519634,0.3525162042022478,0.012723522448240435
test_fabs,ligand_length,70,347.0,1.3993993017432995,0.2382058966237607,0.04705849153381001,0.10038326546897845,0.4083301966021866,0.0007364753691205451,0.04705849153380991,0.0567420491863298
test_fabs,total_length,70,615.8428571428572,1.3993993017432995,0.2802111314375859,0.01879958461112308,0.1811675987404699,0.13337751849795915,0.0008546281640633964,0.01879958461112317,0.07851827818153202
