dataset,length_measure,n,k_neighbors,spearman_rho,permutation_p,bootstrap_ci_low,bootstrap_ci_high,median_ood,max_ood
testAB,receptor_length,103,10,0.0006678971089098684,0.995000499950005,-0.19173794745539152,0.19806624388521582,0.005747126436781609,0.22126436781609196
testAB,ligand_length,103,10,0.03193247670279418,0.7478252174782521,-0.16550834432356407,0.22317825807480748,0.007692307692307693,0.4153846153846154
testAB,total_length,103,10,0.044199983863584355,0.6543345665433457,-0.1434532300837529,0.23459773239039847,0.003386960203217612,0.9026248941574937
test_fabs,receptor_length,70,10,0.16710389852405014,0.1740825917408259,-0.06772424115093127,0.39573756812925864,0.005747126436781609,0.034482758620689655
test_fabs,ligand_length,70,10,0.002712381209923258,0.9831016898310169,-0.23381761377205845,0.2365931353584258,0.007692307692307693,7.0115384615384615
test_fabs,total_length,70,10,0.11208259767479234,0.3504649535046495,-0.1297352927164462,0.3437530566826829,0.005080440304826418,1.415749364944962
